paper_id,title,abstract
s2orc_10,Pattern Propagation Speed in Synfire Chains with Excitatory-Inhibitory Couplings,"The speed of firing pattern propagation in a synfire chain, composed of non-leaky integrate-and-fire neurons, and assuming homogenous connection delays, is studied. An explicit relation, relating the propagation speed to the connecting weights distribution and other network parameters, is derived. The analytic results are then checked with a computer simulation. When the network is fed with a fully synchronized input pattern, the pattern propagation speed is independent of the weight parameters. When the fed input is asynchronous, depending on the weight parameters, the propagation speed is more than or less than the synchronous case. In this case the propagation speed increases by increasing the mean or standard deviation of connecting weights. The biological relevance of these findings and their relevance to the notion of synfire chains are discussed."
s2orc_11,A case of gastric adenocarcinoma arising from a fundic gland polyp.,"A rare case of gastric adenocarcinoma arising on the surface of a fundic gland polyp is reported. A 36-year-old Japanese woman was referred to our hospital for examination and treatment of a polyp that had been detected in another hospital. She did not have a history of familial adenomatous polyposis (FAP). Endoscopic examination revealed a 10-mm-diameter fundic gland polyp in the body of the stomach. The polyp had an irregular depression on its top, suggesting the presence of malignancy. Endoscopic mucosal resection was done to make a histological diagnosis. This revealed a fundic gland polyp with a tiny superficial adenocarcinoma. Atrophic changes of the gastric mucosa were mild, although Helicobacter pylori infection was positive. It is suggested that fundic gland polyps have the potential for malignant transformation."
s2orc_12,Parameter identification in Helmholtz-type equations with a variable coefficient using a regularized DRBEM,"The identification of the space-dependent coefficient in two-dimensional Helmholtz-type equations from a complete knowledge of the field modelled by these equations and its normal derivative on the boundary and additional internal measurements of the field is investigated. This problem is approached by combining a regularized dual reciprocity boundary element method (DRBEM) with a constrained non-linear minimisation technique. The optimal regularization parameter is chosen according to Morozov's discrepancy principle. The accuracy, convergence and stability of the proposed numerical method are carefully analysed and a sensitivity analysis with respect to the initial guess for the minimisation process is also performed. The numerical results obtained show that the combined regularized DRBEM-constrained non-linear minimisation technique is accurate, convergent, stable and robust."
s2orc_13,Exercising Coastal State Jurisdiction: The Use of the Military in Britain's Maritime Domain '),"This paper discusses the ways in which the United Kingdom (UK) employs its armed forces (principally the Royal Navy) in support of civil authorities in tasks associated with maritime domain management. It briefly summarises the UK's response to developments in the law of the sea, explains that domestic jurisdiction has been extended to seawards and how this has meant a similar extension of civil administration. It follows this with an explanation of the doctrine by which the military are used in the UK in support of civil authorities and then summarises those maritime tasks currently undertaken by the military, including fishery protection, assistance to Customs and Excise, search and rescue and hydrographic surveying, amongst others."
s2orc_14,[Aminosalicylates and aspirin for colonic cancer: from anti-inflammatory to antineoplastic drugs?].,"The aim of this article is to review potential antineoplastic properties of anti-inflammatory compounds commonly used in various inflammatory diseases such as aminosalicylates, aspirin and other nonsteroidal drugs. Starting from experimental and epidemiologic evidence showing prophylaxis and/or tumor regression/suppression, specific antineoplastic actions especially the inhibition of cyclooxygenase-(COX)dependent and COX-independent steps including the role of transcription factor (NFkappaB) in the cell cycle regulation are reviewed. In addition other mechanisms by which these drugs may exert antitumor effects, also may be important such as induction of apoptosis of cancer cells and/or inhibition of potentially carcinogenic oxidative DNA damage. Based on this knowledge potential clinical implications are discussed."
s2orc_15,Nanotwins induced by pulsed laser and their hardening effect in a Zr alloy,"Abstract A pulsed laser was employed to treat a Zr-2.5Nb alloy with laser-induced microstructures (especially dense nanotwins) characterized by electron channeling contrast imaging (ECC) imaging and electron backscatter diffraction (EBSD) techniques. Hardening effect of the nanotwins was derived by analyzing hardness contributions from various microstructural factors modified by the pulsed laser treatments (PLT). Results show that dense nanotwins, that are difficult to introduce into Zr alloys by conventional thermo-mechanical methods, can be readily produced by the PLT at laser powers of 50 and 100 W. The twinning system is determined to be the compressive type of {10–11}〈10–12〉 by orientation analyses using EBSD. After the PLT, specimen hardness is markedly increased, which could be attributed to not only grain refinement and solid solution of Nb but more considerably to the abundance of the {10–11} nanotwins, demonstrating their strong hardening effect."
s2orc_16,"Superior tree selection of Chinese date Zhongyang muzao in Jiaxian County,Shaanxi","Based on the through investigation of Chinese date Zhongyang Muzao genetic resource in Jiaxian County,Shaanxi Province from 1994 to 1998,13 superior trees were selected by the methods of preliminary selection,secondary seletion and finalseclection.Statistical analysis of 11 traits shows that mean yield per area of crow shadow,rate of fruit to bearing branch,mean fruit weight,maximum fruit weight,rate of dried and sugar content of dried jujube of the superior trees are higher than those of the superior tree selection standard,and meanwhile demonstrates obviously the superior clone characters."
s2orc_17,[Adolescence and migration: an age of interbreeding].,"The migrant adolescent can be looked at as a ""hybrid"", mixed race individual, who has to be cared for taking into account his migration journey. As a developing person, who is entangled between filiation, affiliation and migration, he needs to be approached as a cosmopolitan individual struggling with the construction of his identity and a sense of multiple belongings. This is why any health care provider must comprehend such situations within a complex network of stakeholders working in a non exclusive way, so to propose to the adolescent a complementary care which will enable him to find his own way in the world, even if he has not received parental support, such as in the case of non accompanied minors."
s2orc_18,Aging-based leakage energy reduction in FPGAs,"The presence of process variation (PV) in deep submicron technologies has become a major concern for energy optimization attempts on FPGAs. We develop a negative bias temperature instability (NBTI) aging-based post-silicon leakage energy optimization scheme that stresses the components that are not used or are off the critical paths to reduce the total leakage energy consumption. Furthermore, we obtain the input vectors for aging by formulating the aging objectives into a satisfiability (SAT) problem. We synthesize the low energy design on Xilinx Spartan6 FPGA and evaluate the leakage energy savings on a set of ITC99 and Opencores benchmarks."
s2orc_19,Effects of free convection currents and mass transfer on flow past a vertical oscillating plate,"An exact analysis of the flow caused by an oscillating vertical plate in the presence of free-convection currents and foreign mass has been presented. Solutions have been derived by Laplace-transform technique. Velocity profiles and leading edge effects have been shown for different gases present in air. During the course of discussion, the effects of Gr (Grashof number), Gm (modified Grashof number), Sc (Schmidt number), on the flow have been discussed. It has been observed that at all small values of Sc, transition from conduction to convection exists but at large values of Sc, such a transition is not present."
s2orc_20,THE MEANING AND IMPORTANCE OF CULTURALLY DETERMINED IMPLICIT VALUES FOR THE INTERNATIONALIZATION OF EDUCATION,"As international mobility increases not only for students and teachers but also for other categories of professionals, thus ceasing to be the reserved purview of a small sophisticated elite, the need to predict in advance the cultural adaptability of large numbers of average candidates becomes increasingly important. After a short description of what culturally determined implicit values are and how they are formed and articulated, the authors describe a survey instrument which they developed for measuring culturally determined implicit value differences among selected groups of students of different nationalities and present some of the tentative conclusions which it enabled them to reach."
s2orc_21,The Sites Teachers Choose: A Gauge of Classroom Web Use,"The pervasive nature of the Internet, both in society and in America's schools, leads teacher educators to wonder how this dynamic tool is being utilized in the classroom and, especially, if it is benefiting students' understanding. This study analyzed 127 Web sites self-reported by in-service teachers as excellent for teaching. From these data, a majority of K-12 educators view the Web either as a lesson planning tool or as a place to turn for additional information to teach a particular lesson. The majority of sites designed for use with students were passive in nature. This paper offers a qualitative data analysis of the attributes of the sites, as well as implications of the selected sites on K-12 teacher beliefs regarding student learning."
s2orc_22,A fastening device for fastening the multifunction machine and the application means,"The present invention discloses a multifunctional machine, and a fastening device for application of the fastening device. Wherein the multifunctional machine includes a body and a head portion disposed on the body and the head for the installation work and drives the output shaft of the working head rotation pivot, and the working head is mounted on the fastener pressed against the output shaft. And fastening means comprises a multifunctional machine clamping mechanism and release mechanism, wherein the pressing mechanism so that the fastener can be moved upward so that the blade is pressed against the fastener to the output shaft; a head release mechanism can be provided in the body fastener such that the fastener is no longer depressing the pressing blade from the blade so that the output shaft. Compared with the prior art, simple structure, reliable clamping, and quick and easy installation and removal of the working head, and lower cost."
s2orc_23,GROWING UP ENTREPREUNERSHIP AT SCHOOL.,"There is no single accepted definition of entrepreneurship in the literature - in fact, the literature is filled with ::: many and often contradictory definitions. Even though ""a concise universally accepted definition of entrepreneur ::: or entrepreneurship does not exist… there is agreement that entrepreneurs have common personality traits"", ::: includes creativity, risk taking, innovation and traits. Based on this statement, and to be connected to teaching ::: and learning process entrepreneurship education is defined as ""a collection of formalized teachings that informs, ::: trains, and educates anyone interested in participating in socioeconomic development through a project to ::: promote entrepreneurship awareness, business creation, or small business development. Indeed, the role of of ::: entrepreneurship in the nation development is very improtant. ::: The key words: enterpreneurship, education, development"
s2orc_24,Earth anchor failure models and effect analysis,"FMEA evaluation criteria,failure severity evaluation criteria,failure frequency evaluation criteria and failure detection degree evaluation criteria for earth anchor are set to establish FMEA analysis sheet for earth anchor support system,in deriving the various failure modes for existing of the system and point out responsible department of the failure mode.RPN value of earth anchor is analyzed and four high risk diseases of earth anchor are obtained i.e.shear failure between earth and concrete,shear failure between concrete and reinforcement bars,pulling destroy of anchor and direct destroy of anchor.It is known is analyzed high risk diseases of earth anchor are mainly focused on anchor segment which is mainly in the charge of the construction department.Therefore,to strengthen the design,and intensify construction management for this part become absolutely necessary."
s2orc_25,Translation of English Causative Verbs into Persian,"A causative form is an expression of an agent causing or forcing a person to perform an action. Translation of English causatives into Persian seems to be one of the biggest problems that Translation students and novice translators usually come across. Therefore, the purpose of this study was to investigate the translation strategies applied by professional translators and translation trainees while translating English causatives into Persian. The main implication of this research may make the translators, at any level, better understand the English causative sentences and avoid producing translations that hinder communication between the translator and the readers."
s2orc_26,Minimizing vehicle noise passing the street bumps using Genetic Algorithm,"Abstract The purpose of this paper is to optimize noise emission level associated with two types of speed reducers for different speeds of a vehicle (20, 40, 60 km/h) by Genetic Algorithm and Artificial Neural Network. The optimization shows that the maximum level of noise is sensitive to speed reducer dimensions. It is reduced by 24 dB(A) by changing the width from 0.6 m to 0.3 m for the height 0.04 m whereas, it is reduced by 32 dB(A) by changing from the height 0.055 m and the width 0.9 m to the height 0.04 m and the width 0.3 m."
s2orc_27,An Investigation of Imputation and Differential Quality of Data in the 1970 Census,"Abstract This article examines the imputation of data in a one percent sample of the nation's ever-married women aged 18–25 from the 1970 Public Use Samples of the Census of Population. Nonwhites are more likely to be imputed data than are whites. Rates of imputation of data are found to be extremely high for some categories of women, and white-nonwhite fertility differentials are affected by imputation. Consequences for study of fertility differentials are noted. It is recommended that researchers routinely use information on imputation of data in any analysis of 1970 Census data."
s2orc_28,Total Variation Based α-Divergence Minimization Reconstruction for Positron Emission Tomography,"To achieve high diagnostic PET imaging,we propose a novel total variation(TV) based alpha-divergence minimization reconstruction algorithm.The presented cost function uses the alpha-divergence to measure the discrepancy between the measured and the estimated emission projection data and utilizes the TV regularization to regularize the consistency of solution.A semi-implicit iteration scheme is used in the proposed algorithm by adapting the subgradient theory;and then an adaptive nonmonotone line search scheme is taken to guarantee the algorithm convergence.The experiments from the simulated phantom data and the real emission data show that the presented algorithm performs better than the other classical PET reconstruction methods in the noise suppressing and the edge details preserving."
s2orc_29,Public debt and financial sustainability of the italian public finances,"The analysis presented in this paper deals with two main issues: the one of debt sustainability, meant in the particular acceptation proposed in this article, and the one of the effects of debt decumulation for the various territorial communities, in particular for the weak areas of Italy (Mezzogiorno). The proposed analysis aims at showing some possible outcomes of the current economic crisis. Four hypotheses, concerning various kinds of constraints regulating the variation over time of the debt amount, are proposed: the zero (or constant) debt hypothesis, the invariance of GDP-debt ratio, the hypothesis of a ceiling on public debt and, lastly, the case of a programmed path of public debt reduction (the Fiscal Compact). In the best case proposed (the zero debt hypothesis), the results prefigure a prognosis of stagnation, which is more serious for the enterprises and the families of the Mezzogiorno than for the rest of Italy. ."
s2orc_30,Physiotherapy and rheumatological disorders,"Abstract Many patients presenting to paediatric rheumatology services require physical therapy. The physiotherapist may take on multiple roles and responsibilities within the team, including diagnostic, therapeutic, disease education, coordinator, patient advocate and facilitator of access to research programmes. As such the physiotherapist will need a background understanding of each disease involving the multi-disciplinary management. In this review, we aim to highlight the importance of the physiotherapist and the roles taken in our multi-disciplinary approach to assessment and treatment of children with rheumatological disorders. Early accurate diagnosis and appropriate management will lead to improved prognosis."
s2orc_31,Transport Processes of Two Lolium ✕ Festuca Hybrid Derivatives Differing in Potassium Concentration,"Selection differences in rates of K uptake were estimated by measuring Rb uptake by excised roots, and the selectivity of cation uptake for K over Na was determined using intact tillers grown in modified Hoagland's solutions containing varying ratios of K:Na. (...). Differences in K uptake were associated with differences in the simulation of the plasma membrane ATPase by K. These results were interpreted in terms of at least two transport processes contributing to the differences in leaf blade cation concentrations, one process on the plasma membrane affecting K accumulation and another affecting. Na accumulation, possibly on the tonoplast membrane"
s2orc_32,Electronic structure of monolayer C60 on Si(100)2 × 1 surface,"Abstract The band structure of monolayer C 60 on Si(100)2 × 1 surface is calculated by DV-X α-LCAO method and compared with the energy bands of Si substrate and C 60 isolated monolayer. The results indicate a significant hybridization between C 60 and the substrate surface showing the metallic character to be consistent with experiment. According to Mulliken charge analysis, the electron is transferred from Si substrate to C 60 , and the charge of a C 60 molecule is about −0.66."
s2orc_33,Iterated smoothing for accelerated gradient convex minimization in signal processing,"In this paper, we consider the problem of minimizing a non-smooth convex problem using first-order methods. The number of iterations required to guarantee a certain accuracy for such problems is often excessive and several methods, e.g., restart methods, have been proposed to speed-up the convergence. In the restart method a smoothness parameter is adjusted such that smoother approximations of the original non-smooth problem are solved in a sequence before the original, and the previous estimate is used as the starting point each time. Instead of adjusting the smoothness parameter after each restart, we propose a method where we modify the smoothness parameter in each iteration. We prove convergence and provide simulation examples for two typical signal processing applications, namely total variation denoising and l1-norm minimization. The simulations demonstrate that the proposed method require fewer iterations and show lower complexity compared to the restart method."
s2orc_34,Macrobenthic turnover in the subtidal Wadden Sea: The Norderaue revisited after 60 years,"The benthic macrofauna of a tidal inlet in the northern Wadden Sea was sampled with grab and dredge in 1924–1926 (Hagmeier & Kandler, 1927), and again in 1985 and 1986. The comparison of surveys from consecutive years, as well as observations from an adjacent area, are employed to separate spurious from real long-term changes. Several epibenthic species of the 1920s became rare or absent in the 1980s. Oyster beds and reefs of the colonial polychaeteSabellaria spinulosa have disappeared completely. On the other hand, mussel beds have extended their range, and the abundance of mobile infauna has increased. The total number of species has remained approximately the same. Compared to surveys from consecutive years, the 60-year interval has doubled the species turnover rate, and has decreased the similarity in relative abundances by one third. The observed losses are best explained by the impact of dredging and trawling on the benthic fauna, while gains seem to indicate coastal eutrophication."
s2orc_35,Effect of pH Value of Mobile Phase in HPLC on the Retention Behavior of Hydrocortisone Sodium Succinate,"OBJECTIVE:To study the effect of pH value of mobile phase in HPLC on the retention behavior of hedrocortisone succinate sodium.METHODS:The separation was performed on Varian C18 with the column temperature at 40℃. The mobile phase consisted of methanol-phosphate buffered solution(43∶57) with(8mmol·L-1 KH2PO4 solution,the pH value of the mobile phase was adjusted to 5.0, 5.2, 5.6 and 6.0,respectively with 8mmol·L-1 K2HPO4 solution) flow rate at 1.0mL·min-1,detection wavelength at 242nm and sample size at 20μL. RESULTS: The pH value of mobile phase could only change the retention time of hydrocortisone sodium succinate and hydrocortisone, but not their peak occurring order.At a pH value of 5.2, both hydrocortisone sodium succinate and free hydrocortisone separated well and their peaks were in good shape,with symmetry value at 0.95～1.05.CONCLUSION:This method can provide bases for the basic systematic study of chromatographic behaviors of commonly used drugs."
s2orc_36,Barbiturate-reversible reduction of water diffusion coefficient in flurothyl-induced status epilepticus in rats.,"Rat brains (n = 17) with flurothyl-induced status epilepticus (SE) have been imaged with a gradient-echo diffusion-weighted imaging sequence at 2.0 T. The apparent water diffusion coefficient (ADC) decreased during seizure discharges. The magnitude of the ADC reduction correlated well with the duration of flurothyl exposure. A 17% reduction in the water ADC compared with preseizure condition was observed in rats with the longest flurothyl exposure time. In 13 rats, pentobarbital was used to arrest the electrographic seizure activity. ADC values began to return to normal a few minutes after the injection. In four rats with no pentobarbital administration, ADC values remained depressed up to 1 h after seizure onset. The results suggest that diffusion-weighted MR imaging may be useful for mapping recent intense seizure activity in human patients with medically intractable epilepsy."
s2orc_37,Genomics of AML: clinical applications of next-generation sequencing.,"In the past decade, a series of technological advances have revolutionized our ability to interrogate cancer genomes, culminating in whole-genome sequencing, which provides genome-wide coverage at a single base-pair resolution. As sequencing technologies improve and costs decrease, it is likely that whole-genome sequencing of cancer cells will become commonplace in the diagnostic workup of patients with acute myelogenous leukemia (AML) and other cancers. The unprecedented molecular characterization provided by whole-genome sequencing offers the potential for an individualized approach to treatment in AML, bringing us one step closer to personalized medicine. In this chapter, we discuss how next-generation sequencing is being used to study cancer genomes. Recent publications of whole-genome sequencing in AML are reviewed and current limitations of whole-genome sequencing are examined, as well as current and potential future clinical applications of whole-genome sequencing."
s2orc_38,Some remarks on Hartry Field's notion of “logical consistency”,"In this article the notion of “logical consistency” in the sense introduced by Field in [Field 1991] is discussed. Field argues, that it is possible to introduce the notion of “logical consistency” as a primitive metalogical notion, which is independent from model-theoretical and proof-theoretical notions. In this article I want to indicate some difficulties of this standpoint, and to identify some hidden presuppositions. I also would like to show, that introducing this concept (at least in the form considered by Field) does not really support Field’s argumentation against realism. I confine myself to the analysis of Field’s standpoint, and will not discuss the more general issue, whether it is possible to treat the notion of “logical consequence” as a primitive notion."
s2orc_39,After Iraq: Permanent Transatlantic Tensions,"America’s longtime European allies have become increasingly disturbed by aspects of the Bush administration’s foreign policy. Criticisms of US actions are most pronounced in France and Germany, the core of what US Secretary of Defence Donald Rumsfeld derisively refers to as ‘old Europe’. Disagreements about Washington’s drive to war against Iraq have been the most acute sources of transatlantic tensions, but they are hardly the only ones. Indeed, early in President Bush’s term, acrimonious disputes arose between the United States and the leading European Union countries over such issues as the Kyoto Protocol on the environment, the international criminal court, and ballistic missile defence. The gap between US and European policy preferences became even more pronounced following the issuance of the Bush administration’s new national security strategy document in September 2002, with its emphasis on ‘pre-emptive action’."
s2orc_40,A feature extraction method based on optimized frame algorithm in speech recognition,This paper used optimized frame algorithm in noise-robust feature extraction of speech recognition and introduced a feature extraction method based on optimized frame algorithm. The method of calculating the sample numbers of observation window in ZCPA feature extraction was proposed by studying the length of frame and human auditory characteristic. This paper also discussed the effect of using different frame in ZCPA feature extraction in detail. The RBF neural net was used in training and recognition course. The results showed that new feature has higher recognition rate and better robustness than traditional feature.
s2orc_41,The Real Effects of Monetary Shocks in Sticky Price Models: A Sufficient Statistic Approach,"We prove that the ratio of kurtosis to the frequency of price changes is a sufficient statistic for the real effects of monetary shocks, measured by the cumulated output response following the shock. The sufficient statistic result holds in a large class of models which includes Taylor (1980), Calvo (1983), Reis (2006), Golosov and Lucas (2007), Nakamura and Steinsson (2010), Midrigan (2011) and Alvarez and Lippi (2014). Several models in this class are able to account for the positive excess kurtosis of the size- distribution of price changes that appears in the data. We review empirical measures of kurtosis and frequency and conclude that a model that successfully matches the micro evidence on kurtosis and frequency produces real effects that are about 4 times larger than in the Golosov-Lucas model, and about 30% below those of the Calvo model. We discuss the robustness of our results to changes in the setup, including small in ation and leptokurtic cost shocks."
s2orc_42,RADIO AND LOUDSPEAKER PUBLIC ADDRESS FOR ROAD TUNNELS,Tunnel evacuation modelling has shown that the public are generally reluctant to leave the perceived safety of their vehicles. Radio communications in road tunnels for emergency services has been well defined for many years but the ability of an operator to speak directly with tunnel users has traditionally required the use of emergency telephones. Public address systems that use both radio break-in and loudspeakers have been installed in a number of tunnels in recent years. This paper considers an integrated solution that exceeds the requirements of the EU tunnel directive and provides an efficient response in the event of incidents. For the covering abstract see ITRD E134653.
s2orc_43,"African islands and the formation of the Dutch Atlantic economy: Arguin, Gorée, Cape Verde and São Tomé, 1590-1670","The role played by Atlantic islands in the formation of European overseas empires, and the development of coastal and intercontinental commercial routes and business networks, is relatively well studied for the Iberian Atlantic. Few scholars have, however, examined the functions of isles in the building of Dutch maritime connections. This paper partially fills this void in the literature by looking at the African islands of Arguin, Goree, Cape Verde and Sao Tome, and highlighting their significance within the seventeenth-century Dutch Atlantic. Using information from the notarial archives of Amsterdam, the collection of the Dutch West India Company (WIC) and journals of voyages, we examine the role played by these islands in the formation and operationalization of Dutch commercial circuits in the Atlantic, and emphasize their geo-strategic importance for the achievement of the colonial aspirations and military ambitions of the Dutch Republic and the WIC."
s2orc_44,Preparation of Ultrafine Plate-like WO_3 via W/O Microemulsions Method,"Ultrafine plate-like WO_3 was synthesized in quaternary W/O microemulsion solution containing TritonX-100,cylcohexane,hexanol and water.XRD patterns show that the ultrafine sheets are the mixture of monoclinic and triclinic WO_3 crystals.SEM images show that the as-synthesized samples are homogeneous grain-size ultrafine sheets.BET analysis show that the ultrafine plate-like WO_3 has large specific area.Two key variables-ω_0(molar ratio of water to surfactant)and reactant concentration in water were investigated to reveal the size and shape changing of ultrafine plate-like WO_3.The mechanics of ultrafine plate-like WO_3 prepared in TritonX-100/cylcohexane/exanol /water solution was discussed tentatively."
s2orc_45,"Operating device for operating a light source, particularly an led","The invention relates to an operating device for operating a light source, particularly an LED, which has: a first power converter stage (P1) supplied with system voltage with a first reference potential (Z1), a second power converter stage (P2) with a second reference potential (Z2) connected via a first potential isolation element (G1) to the secondary side of the first power converter stage (P1), a preferably digital control element (C1) that controls the first power converter stage (P1) and the second power converter stage (P2) without potential isolation via a second potential isolation element (G2), at least one power switch (S2) that clocks the converter stage (P2), and an illuminant (L) supplied with energy from the second converter stage (P2)."
s2orc_46,"To die young, to die old management of terminal illness at age 20 and at age 85: case reports. Death and dying in an 85-year-old woman.","In conclusion, preparing for death is a developmental task. Whether faced with acute illness or old age, the inevitability of death comprises part of the mental life of all of us. As with all other developmental tasks, the quality of mastery depends on mastery of earlier developmental tasks and the related adaptive capacities of the ego. Mrs. F. had the good fortune of family support, concrete help in the household, and casework treatment that many of the aged do not have. However, past experiences, coupled with an ability to work out problems and to utilize available external resources, helped her to work through feelings about her own impending death."
